BOOT,model,treatment,n,mean,lcl,ucl
10000,bca,control,402,0.218542136556188,0.146296254660334,0.340201858125668
10000,basic,control,402,0.21864351330021,0.135282477596437,0.319601961935074
10000,bca,kite,221,0.0993594834701589,0.0498970576909294,0.216817951604312
10000,basic,kite,221,0.0993443765081239,0.0393422105920574,0.179896495088331
10000,bca,night,167,0.0749893626200634,0.0336791280406933,0.144673911162233
10000,basic,night,167,0.0753237251484736,0.0296696064458998,0.132247663907724
10000,bca,night_kite,48,0,0,0
10000,basic,night_kite,48,0,0,0
