Type,treatment,abs.mean.diff(N),abs.lcl.diff(N),abs.ucl.diff(N),prop.mean.diff(%),prop.lcl.diff(%),prop.ucl.diff(%)
LTDU bycatch,kite_control_diff,-0.178566117795236,-0.298095789446827,-0.0799947623448926,-83.7775246261111,-251.20666487552,-24.3117576628695
LTDU bycatch,night_control_diff,-0.161216286040111,-0.285653918492664,-0.0522068693662684,-75.6375371801686,-240.721844164008,-15.8665482484659
Fish catch,kite_control_diff,-0.473708510292465,-2.17561949450815,1.20996449656472,-5.08053734472267,-26.7938256596839,11.4440224102325
Fish catch,night_control_diff,2.53730273668203,0.4613334314649,4.66649684699766,27.212644545105,5.68154843475914,44.1364144534335
