Type,treatment,abs.mean.diff(N),abs.lcl.diff(N),abs.ucl.diff(N),prop.mean.diff(%),prop.lcl.diff(%),prop.ucl.diff(%)
LTDU bycatch,kite_control_diff,-0.106372520880534,-0.192729312575463,-0.02894449142349,-71.578170871761,-232.639750856736,-12.6684533725257
LTDU bycatch,night_control_diff,-0.0973958096525217,-0.184170461828088,-0.0188360529070507,-65.5377333148968,-222.30853097699,-8.24418209613948
Fish catch,kite_control_diff,-1.76771417792001,-3.46305975403368,-0.0629343122635173,-17.9861080722202,-39.9364718031627,-0.571868173317112
Fish catch,night_control_diff,3.03728831013909,0.891684357362938,5.17649830476925,30.9037493023517,10.2830241822042,47.0375304544891
