Group,treatment,abs.mean.diff(N),abs.lcl.diff(N),abs.ucl.diff(N),prop.mean.diff(%),prop.lcl.diff(%),prop.ucl.diff(%)
Cormorants,kite_control_diff,-0.00704259422904228,-0.0782891737355644,0.075670736545924,-15.5759746321271,-734.553694032594,76.2669953160746
Cormorants,night_control_diff,-0.0452144690484805,-0.0992181955409683,-0.0106580600399364,-100,-930.921717171717,-10.7420418017334
Cormorants,nightkite_control_diff,-0.0452144690484805,-0.0992181955409683,-0.0106580600399364,-100,-930.921717171717,-10.7420418017334
Long-tailed Ducks,kite_control_diff,-0.106693907463354,-0.194414348681701,-0.0302300514241667,-71.589269435793,-234.805149955271,-13.0785847597158
Long-tailed Ducks,night_control_diff,-0.0834771814864233,-0.174944733735494,0.00196087625961333,-56.0113560300969,-211.290600293609,0.848344119724711
Long-tailed Ducks,nightkite_control_diff,-0.14903617302457,-0.231141610346712,-0.0827981621011021,-100,-279.162730767469,-35.8214005591226
Seaducks,kite_control_diff,-0.115182969629072,-0.205743582777029,-0.0329755477436776,-67.5592716860357,-203.623796666828,-12.94352861148
Seaducks,night_control_diff,-0.104683984622611,-0.200458017036989,-0.0168911276878631,-61.4012104486557,-198.392688366913,-6.63008833719635
Seaducks,nightkite_control_diff,-0.170491727862839,-0.254764745638454,-0.101041030638315,-100,-252.139892110173,-39.660523038657
