Type,treatment,mean,lcl,ucl,n,Scenario,deplSSdiff,haulSRdiff
Seabird bycatch,kite,0.0986455346898981,0.0362825923720215,0.186586270394604,196,10,4,0
Seabird bycatch,night,0.0674811777414234,0.0311939387076726,0.109106814829278,223,10,4,0
Seabird bycatch,night_kite,0.0366805067818341,0,0.110873068358189,73,10,4,0
Fish catch,control,10.8311391123187,9.33119436328384,12.4269357585946,261,10,4,0
Fish catch,kite,9.21592564901199,7.72246351635893,10.8426303112515,196,10,4,0
Fish catch,night,9.39959686735507,8.14900414967681,10.6996318446661,223,10,4,0
Fish catch,night_kite,9.16500510682032,7.29822521200261,11.1693955678771,73,10,4,0
Seabird bycatch,control,0.178059327683409,0.111695079430708,0.2557668981923,502,11,0,1
Seabird bycatch,kite,0.0773254177633005,0.0278368200696023,0.143284168692037,265,11,0,1
Seabird bycatch,night,0.110222736331901,0,0.330899838882922,38,11,0,1
Seabird bycatch,night_kite,0.349422876530612,0,1.04784948979592,4,11,0,1
Fish catch,control,10.1308942911265,9.12415873719785,11.177727269117,502,11,0,1
Fish catch,kite,9.15433299280937,7.92683993439724,10.4579088498125,265,11,0,1
Fish catch,night,11.9335708040936,8.39175699665831,15.847605994152,38,11,0,1
Fish catch,night_kite,12.1689680555556,8.56111111111111,15.9789682539683,4,11,0,1
Seabird bycatch,control,0.193844438027244,0.115031491096723,0.287114715372617,363,12,1,1
Seabird bycatch,kite,0.0583313115263553,0.024140864733559,0.100433969520457,241,12,1,1
Seabird bycatch,night,0.133301081293737,0.0176109157948894,0.301062029858372,136,12,1,1
Seabird bycatch,night_kite,0.279030676360544,0,0.798361516034986,28,12,1,1
Fish catch,control,9.66319745368215,8.47849849864341,10.9015838199559,363,12,1,1
Fish catch,kite,9.00958082688721,7.69478742923633,10.4325867624505,241,12,1,1
Fish catch,night,11.4901411205816,9.67067209800587,13.3883303529745,136,12,1,1
Fish catch,night_kite,10.8567170323129,8.13381519274376,13.8672718253968,28,12,1,1
Seabird bycatch,control,0.178516993848703,0.0915134730603135,0.29052252137792,263,13,2,1
Seabird bycatch,kite,0.0668671095066016,0.0272324220659263,0.113978830877303,211,13,2,1
Seabird bycatch,night,0.145307832077412,0.0551403126319081,0.262879580625709,212,13,2,1
Seabird bycatch,night_kite,0.136696582905231,0,0.385415904292752,58,13,2,1
Fish catch,control,10.0628502835134,8.58925690129875,11.6175119059115,263,13,2,1
Fish catch,kite,9.12453946105612,7.69492944299363,10.6587292604772,211,13,2,1
Fish catch,night,10.5408956834168,9.09326025221409,12.0208346115176,212,13,2,1
Fish catch,night_kite,9.54145188396278,7.47074906495165,11.7994780605729,58,13,2,1
Seabird bycatch,control,0.166430820692233,0.0873056925585157,0.262810061039883,195,14,3,1
Seabird bycatch,kite,0.0596340207539446,0.0231898128743124,0.102707174875577,190,14,3,1
Seabird bycatch,night,0.137201995730247,0.0621485880460676,0.233506466950654,262,14,3,1
Seabird bycatch,night_kite,0.134816572504357,0,0.350045457379809,79,14,3,1
Fish catch,control,11.499554538446,9.68168930548288,13.4152427434735,195,14,3,1
Fish catch,kite,9.1635364122075,7.63137063293154,10.7896013575606,190,14,3,1
Fish catch,night,9.86453849949225,8.56830461433937,11.2048663177315,262,14,3,1
Fish catch,night_kite,9.29068823715759,7.41737363538946,11.2449814145067,79,14,3,1
Seabird bycatch,control,0.174338380141949,0.0853425269040199,0.278243005210909,164,15,4,1
Seabird bycatch,kite,0.0644929813342942,0.0254815687203546,0.111974433350332,176,15,4,1
Seabird bycatch,night,0.135267175812701,0.0636648784200663,0.224504874978361,293,15,4,1
Seabird bycatch,night_kite,0.114296951333681,0,0.283363574795881,93,15,4,1
Fish catch,control,11.2452947395245,9.22203120794388,13.4271999520675,164,15,4,1
Fish catch,kite,9.13622532571033,7.59231976439566,10.8909954820312,176,15,4,1
Fish catch,night,9.97442136672935,8.76437677007474,11.2399369833789,293,15,4,1
Fish catch,night_kite,9.32731266678045,7.61484979803152,11.1609289554531,93,15,4,1
Seabird bycatch,control,0.178483114590087,0.113656274976471,0.25843741161971,500,16,0,2
Seabird bycatch,kite,0.0773999352467686,0.0282211284547838,0.142855533472744,264,16,0,2
Seabird bycatch,night,0.105948061913265,0,0.314354846938775,40,16,0,2
Seabird bycatch,night_kite,0.279929498367347,0,0.838279591836735,5,16,0,2
Fish catch,control,10.1096252801817,9.10311640011338,11.1631201865079,500,16,0,2
Fish catch,kite,9.16301884387583,7.93300647360796,10.4960912127225,264,16,0,2
Fish catch,night,12.0587966587302,8.61408630952381,15.719941468254,40,16,0,2
Fish catch,night_kite,11.401757968254,8.31650793650794,15.0165079365079,5,16,0,2
Seabird bycatch,control,0.200724950141239,0.118818373350798,0.298172341958478,349,17,1,2
Seabird bycatch,kite,0.0590504529633583,0.0236223043470788,0.100977667195794,238,17,1,2
Seabird bycatch,night,0.12227603626039,0.0161830037034119,0.276920412677619,148,17,1,2
Seabird bycatch,night_kite,0.255565608108405,0,0.721100724160632,31,17,1,2
Fish catch,control,9.35487031970623,8.17644418888217,10.6192396156712,349,17,1,2
Fish catch,kite,8.96309667268495,7.62255060738581,10.3782581135629,238,17,1,2
Fish catch,night,12.2935765634767,10.4334717817307,14.2486769320341,148,17,1,2
Fish catch,night_kite,10.9449995852535,8.33636264720942,13.7533538146441,31,17,1,2
Seabird bycatch,control,0.205559733205244,0.105303872062525,0.33611702317294,227,18,2,2
Seabird bycatch,kite,0.0691256104111969,0.0281064644658456,0.117885533300665,203,18,2,2
Seabird bycatch,night,0.128864113815966,0.0478423334583994,0.235212620836983,240,18,2,2
Seabird bycatch,night_kite,0.119392041429602,0,0.338698824984539,66,18,2,2
Fish catch,control,9.58426527415066,8.07727060029102,11.1540631590864,227,18,2,2
Fish catch,kite,8.86787807733432,7.42142014063425,10.4297433039554,203,18,2,2
Fish catch,night,11.2173683467278,9.82854486961451,12.7359649982678,240,18,2,2
Fish catch,night_kite,10.183909023088,8.14183742183742,12.3715266354016,66,18,2,2
Seabird bycatch,control,0.18604156709696,0.0903535391273494,0.297700758521385,155,19,3,2
Seabird bycatch,kite,0.0524438450097896,0.0183078373015873,0.0929247851081465,180,19,3,2
Seabird bycatch,night,0.134200552759169,0.0636000574637887,0.225110747812986,295,19,3,2
Seabird bycatch,night_kite,0.139458612934527,0.0156981196973171,0.327495255754375,89,19,3,2
Fish catch,control,11.225877903712,9.18868153512301,13.4256498766245,155,19,3,2
Fish catch,kite,8.89919184578063,7.33464395313681,10.6086492157974,180,19,3,2
Fish catch,night,10.4496407107524,9.19480907990315,11.763973722408,295,19,3,2
Fish catch,night_kite,9.78136620766559,7.96047779348943,11.6882677010879,89,19,3,2
Seabird bycatch,control,0.201713267857604,0.0914322910009208,0.335989629498863,123,20,4,2
Seabird bycatch,kite,0.0573206321599702,0.0202631213307637,0.102035580135872,165,20,4,2
Seabird bycatch,night,0.13256822880235,0.0667536739677006,0.213610234161007,328,20,4,2
Seabird bycatch,night_kite,0.120608109370545,0.0134339678178964,0.278430564032642,104,20,4,2
Fish catch,control,10.8408843770367,8.49031827762722,13.4087583079844,123,20,4,2
Fish catch,kite,8.8176806183055,7.15588536269727,10.6093095054857,165,20,4,2
Fish catch,night,10.4718690054477,9.29645279765361,11.6863270830453,328,20,4,2
Fish catch,night_kite,9.81773349665533,8.17363040729112,11.5366423105995,104,20,4,2
Seabird bycatch,control,0.178644689285049,0.11179023757807,0.257652673230347,500,21,0,3
Seabird bycatch,kite,0.0774880108842767,0.0283762539876067,0.143329282149831,264,21,0,3
Seabird bycatch,night,0.105067868341837,0,0.314354846938775,40,21,0,3
Seabird bycatch,night_kite,0.281578114897959,0,0.838279591836735,5,21,0,3
Fish catch,control,10.0998301021477,9.08976267974301,11.1504919449735,500,21,0,3
Fish catch,kite,9.15019922314643,7.91389824134199,10.4494106826485,264,21,0,3
Fish catch,night,12.0297849940476,8.60488045634921,15.7849141865079,40,21,0,3
Fish catch,night_kite,11.4283963174603,8.31650793650794,15.2292063492064,5,21,0,3
Seabird bycatch,control,0.204150268611726,0.121176230520809,0.303871393801636,343,22,1,3
Seabird bycatch,kite,0.0536963926900718,0.0206450606010898,0.0950813068483287,237,22,1,3
Seabird bycatch,night,0.118676500052751,0.015757135184901,0.270398713447096,152,22,1,3
Seabird bycatch,night_kite,0.286574319479167,0,0.739316028911565,32,22,1,3
Fish catch,control,9.33936900484785,8.15602096756422,10.604049965127,343,22,1,3
Fish catch,kite,8.86154547253302,7.54831769297499,10.2910817380586,237,22,1,3
Fish catch,night,12.3377848566356,10.4392993159983,14.333146568057,152,22,1,3
Fish catch,night_kite,11.6353833457341,8.8883841765873,14.7244630456349,32,22,1,3
Seabird bycatch,control,0.214134945593097,0.109412152323475,0.347859121041957,218,23,2,3
Seabird bycatch,kite,0.0637033102813504,0.0239774706388323,0.11283119632271,201,23,2,3
Seabird bycatch,night,0.126204489370523,0.046547977212806,0.230656982849546,246,23,2,3
Seabird bycatch,night_kite,0.135421054637855,0,0.365720018007203,68,23,2,3
Fish catch,control,9.53671152439895,7.99886871268385,11.2021919186482,218,23,2,3
Fish catch,kite,8.73837673635677,7.29148272864701,10.3201795414462,201,23,2,3
Fish catch,night,11.3093747237247,9.88614744221989,12.7703258753818,246,23,2,3
Fish catch,night_kite,10.6048086860411,8.51372315592904,12.8088821778712,68,23,2,3
Seabird bycatch,control,0.184535591927468,0.0858649296083414,0.302390676121137,146,24,3,3
Seabird bycatch,kite,0.0411798767889613,0.0113051322223805,0.0799262170112362,177,24,3,3
Seabird bycatch,night,0.137128353747192,0.0691880359431017,0.223576831827379,303,24,3,3
Seabird bycatch,night_kite,0.158662337577943,0.0299122603586889,0.341702031793125,92,24,3,3
Fish catch,control,11.025288854648,8.93789060147651,13.348076595585,146,24,3,3
Fish catch,kite,8.69697586636347,7.09621854584897,10.3997996207899,177,24,3,3
Fish catch,night,10.6038520963407,9.36421851652285,11.8982157057543,303,24,3,3
Fish catch,night_kite,10.1638069004075,8.33815374313977,12.0859855093003,92,24,3,3
Seabird bycatch,control,0.209593257918687,0.090034940511035,0.353727843144472,110,25,4,3
Seabird bycatch,kite,0.0450395791353934,0.0121331720959989,0.0854197841317231,162,25,4,3
Seabird bycatch,night,0.134063035224688,0.0701333361575064,0.213209899474962,338,25,4,3
Seabird bycatch,night_kite,0.137900872939799,0.0261146290291818,0.29467036543774,107,25,4,3
Fish catch,control,10.6341697820848,8.06970710849997,13.4986134180238,110,25,4,3
Fish catch,kite,8.58321761396658,6.94470492847345,10.420934668449,162,25,4,3
Fish catch,night,10.602658469712,9.42722026498634,11.8445498015873,338,25,4,3
Fish catch,night_kite,10.1418612187552,8.46382773680604,11.8884739702319,107,25,4,3
