Type,treatment,abs.mean.diff(N),abs.lcl.diff(N),abs.ucl.diff(N),prop.mean.diff(%),prop.lcl.diff(%),prop.ucl.diff(%)
Seabird bycatch,kite_control_diff,-0.222001042948461,-0.372068151121208,-0.0863737658131798,-72.9927647756813,-199.422556827649,-19.397588419319
Seabird bycatch,night_control_diff,-0.235478286864563,-0.38551751031443,-0.103983739788671,-77.4240110523974,-206.631197475668,-23.3523890932915
Fish catch,kite_control_diff,-0.484133644718778,-2.19250347953839,1.26927186101915,-5.1911291931973,-27.0194988653275,11.9943632281178
Fish catch,night_control_diff,2.53733179724808,0.504748716019319,4.71325734307785,27.2065726255678,6.22031275527593,44.5393317985295
