Type,treatment,abs.mean.diff(N),abs.lcl.diff(N),abs.ucl.diff(N),prop.mean.diff(%),prop.lcl.diff(%),prop.ucl.diff(%)
seaduck bycatch,kite_control_diff,-0.200499931583912,-0.324675415943395,-0.0930998197573329,-81.591250709423,-223.586542311084,-25.4326830868513
seaduck bycatch,night_control_diff,-0.194300995305984,-0.322942843956897,-0.0834487713101972,-79.0686614995983,-222.393412924799,-22.7962434326003
Fish catch,kite_control_diff,-0.485428832428882,-2.2165637645558,1.2434148306281,-5.20160668041971,-27.3188183112645,11.7122133502224
Fish catch,night_control_diff,2.52237780129942,0.402186947738633,4.66220622093832,27.0285082905612,4.95689423788609,43.9151541362757
