Type,treatment,abs.mean.diff(N),abs.lcl.diff(N),abs.ucl.diff(N),prop.mean.diff(%),prop.lcl.diff(%),prop.ucl.diff(%),n,Scenario,deplSSdiff,haulSRdiff
Seabird bycatch,kite_control_diff,-0.100529519837672,-0.191768882027706,-0.00933480514299377,-54.9294566928096,-161.811216418081,-3.61710339339222,267,1,0,-1
Seabird bycatch,night_control_diff,-0.183015682095452,-0.258074047870645,-0.118513961066965,-100,-217.758351461078,-45.9224637443465,21,1,0,-1
Seabird bycatch,nightkite_control_diff,-0.183015682095452,-0.258074047870645,-0.118513961066965,-100,-217.758351461078,-45.9224637443465,2,1,0,-1
Fish catch,kite_control_diff,-1.06076782339808,-2.6912703886799,0.589035813118831,-10.3627809226021,-29.1108294844636,5.2241141707249,267,1,0,-1
Fish catch,night_control_diff,-1.92567482195374,-5.09735446570563,1.59323537186351,-18.8121715873244,-55.1368666995262,14.1302842680861,21,1,0,-1
Fish catch,nightkite_control_diff,1.30368162551413,-1.21113165794358,3.80284174636038,12.73583792799,-13.1005220902108,33.7271164396547,2,1,0,-1
Seabird bycatch,kite_control_diff,-0.102956457184805,-0.200409335513059,-0.00409401054548651,-54.4799056510406,-167.838659136107,-1.50561809834465,254,2,1,-1
Seabird bycatch,night_control_diff,-0.136876700358246,-0.239314995895278,-0.0328294259813218,-72.4289658487158,-200.421342246349,-12.0733880302867,58,2,1,-1
Seabird bycatch,nightkite_control_diff,-0.188980608454556,-0.271915603962762,-0.119405944104058,-100,-227.723674899968,-43.9128694212083,15,2,1,-1
Fish catch,kite_control_diff,-1.12558501126484,-2.75583098703996,0.587883023580014,-11.0492055119275,-30.1497546751521,5.21788871941834,254,2,1,-1
Fish catch,night_control_diff,-0.455850664414249,-2.94696579182577,2.22612554327456,-4.47481764900353,-32.2408362767727,19.7584806744813,58,2,1,-1
Fish catch,nightkite_control_diff,1.47296056849424,-2.46296895211538,6.20530222934866,14.4591868844894,-26.9457416031727,55.0765632011705,15,2,1,-1
Seabird bycatch,kite_control_diff,-0.0973615089482606,-0.20164986137792,0.00450296115696708,-52.1864811185162,-175.365473184754,1.65865814828723,246,3,2,-1
Seabird bycatch,night_control_diff,-0.124722145349002,-0.228608599622193,-0.0179426029988642,-66.8519824068815,-198.810229637181,-6.60912755587569,71,3,2,-1
Seabird bycatch,nightkite_control_diff,-0.186564617620321,-0.271482171393602,-0.114988348456411,-100,-236.095374042625,-42.3557642353238,23,3,2,-1
Fish catch,kite_control_diff,-1.11465372153345,-2.80821508516252,0.637684520110135,-10.8799253200328,-30.5777667696199,5.63597112361142,246,3,2,-1
Fish catch,night_control_diff,-0.84534680923652,-3.0458696444112,1.5076710573249,-8.25127120319344,-33.165512175176,13.3250694897224,71,3,2,-1
Fish catch,nightkite_control_diff,-0.211167989284371,-3.27979510087995,3.15721252283846,-2.06117102469702,-35.7126525588209,27.9040153064225,23,3,2,-1
Seabird bycatch,kite_control_diff,-0.0772451185434195,-0.172405872557417,0.018237270176704,-48.96783107607,-181.116916528923,7.81270330363576,239,4,3,-1
Seabird bycatch,night_control_diff,-0.0562204811348691,-0.159764568934563,0.0515197541856705,-35.639728116673,-167.836893643886,22.0706580441544,83,4,3,-1
Seabird bycatch,nightkite_control_diff,-0.0685267334312628,-0.213448100660628,0.146046905725179,-43.4410040418382,-224.232859688311,62.5653473238778,30,4,3,-1
Fish catch,kite_control_diff,-0.964897751070438,-2.69189027566038,0.858208784990669,-9.58897194950374,-29.9173106811852,7.68037261457232,239,4,3,-1
Fish catch,night_control_diff,-0.347703925564979,-2.41406021312497,1.84504658309718,-3.4554160638017,-26.8295442991004,16.5118855659161,83,4,3,-1
Fish catch,nightkite_control_diff,-0.0632736370276098,-2.67733007830452,2.77229154213529,-0.628801476558256,-29.7554905833107,24.8100839937893,30,4,3,-1
Seabird bycatch,kite_control_diff,-0.0794256107935905,-0.175899413852418,0.018269858333321,-49.4157024988217,-182.227172198933,7.72257668389823,236,5,4,-1
Seabird bycatch,night_control_diff,-0.0691510678402844,-0.167719170358838,0.0351555450063492,-43.0232586407392,-173.752654819447,14.8600710099988,92,5,4,-1
Seabird bycatch,nightkite_control_diff,-0.0787375205067961,-0.219030130952974,0.122798472288563,-48.9875979546474,-226.909462150967,51.9062929560003,33,5,4,-1
Fish catch,kite_control_diff,-0.98542886312156,-2.71640640533612,0.828608460740812,-9.80108467136707,-30.3234892552477,7.38848671665178,236,5,4,-1
Fish catch,night_control_diff,-0.375044121547426,-2.36257000064604,1.71066594879255,-3.73019233386445,-26.3735816145287,15.2535645460128,92,5,4,-1
Fish catch,nightkite_control_diff,0.134302643309812,-2.38559335410495,2.94898817749966,1.3357753440448,-26.6305933819357,26.2953626584256,33,5,4,-1
Seabird bycatch,kite_control_diff,-0.100729332026902,-0.196350138657772,-0.00756459935611063,-54.9685087672394,-169.566762255554,-2.89881226691842,266,6,0,0
Seabird bycatch,night_control_diff,-0.183249162631343,-0.260955131259748,-0.115795180639147,-100,-225.359233276697,-44.3735978979036,31,6,0,0
Seabird bycatch,nightkite_control_diff,-0.183249162631343,-0.260955131259748,-0.115795180639147,-100,-225.359233276697,-44.3735978979036,3,6,0,0
Fish catch,kite_control_diff,-1.13457014887873,-2.74049329354379,0.56771003026434,-10.9862024869091,-29.4916351709579,4.98329675968455,266,6,0,0
Fish catch,night_control_diff,-1.76796159859418,-4.63893106768595,1.40809440457165,-17.1194210692311,-49.9215462244407,12.3600991871935,31,6,0,0
Fish catch,nightkite_control_diff,-0.149307352135742,-2.94093055223391,2.90789032066386,-1.44576411160525,-31.6486273160881,25.5251442461479,3,6,0,0
Seabird bycatch,kite_control_diff,-0.125120934129509,-0.238089173869287,-0.0163663409376655,-58.2888566660791,-182.441420525039,-5.20339736131631,245,7,1,0
Seabird bycatch,night_control_diff,-0.187610256484144,-0.292252773601372,-0.093503640754572,-87.4001415140613,-223.945550743477,-29.7278786644418,112,7,1,0
Seabird bycatch,nightkite_control_diff,-0.214656696469949,-0.314531829902864,-0.13050171018407,-100,-241.01740081354,-41.4907801936524,24,7,1,0
Fish catch,kite_control_diff,-1.06368185634468,-2.86498036130283,0.799607088495443,-10.5091427336485,-32.0219315630648,7.04003008494175,245,7,1,0
Fish catch,night_control_diff,-0.345921098861035,-2.43606356984304,1.77750793830986,-3.41768939728265,-27.2279216885507,15.6498229467553,112,7,1,0
Fish catch,nightkite_control_diff,0.409499965947031,-2.69216552259863,3.85956221251935,4.04584657140849,-30.0903773322527,33.9809820120115,24,7,1,0
Seabird bycatch,kite_control_diff,-0.105779743760164,-0.234673070429951,0.0136937015331013,-51.6981163133652,-204.476642068657,4.32911755860798,221,8,2,0
Seabird bycatch,night_control_diff,-0.14402479572538,-0.263918116823903,-0.0416483507265305,-70.3897587264093,-229.95859819094,-13.1666814835604,166,8,2,0
Seabird bycatch,nightkite_control_diff,-0.204610440966526,-0.316316231835119,-0.114767666397395,-100,-275.614414551083,-36.2825725798408,48,8,2,0
Fish catch,kite_control_diff,-1.17203193259887,-3.1143452344134,0.763900237591175,-11.3440830755957,-34.4338421627573,6.52900327465297,221,8,2,0
Fish catch,night_control_diff,-0.672599030012795,-2.65759979037465,1.3166163462239,-6.51007797723686,-29.3838238299147,11.2530301902563,166,8,2,0
Fish catch,nightkite_control_diff,-0.900385302964579,-3.53651208666867,1.96097449421647,-8.7148185922093,-39.1015413620223,16.7603153713147,48,8,2,0
Seabird bycatch,kite_control_diff,-0.0980277725856303,-0.218960967357436,0.0209694445464227,-51.3644921463297,-206.89067831717,7.18585799655829,207,9,3,0
Seabird bycatch,night_control_diff,-0.119990570706293,-0.2285511158949,-0.0256061022956437,-62.8725366711072,-215.952167038305,-8.77475865106932,199,9,3,0
Seabird bycatch,nightkite_control_diff,-0.147232568261954,-0.268124052245841,-0.0136451153013941,-77.1467707232556,-253.34363339625,-4.67593982689493,62,9,3,0
Fish catch,kite_control_diff,-1.71728808312756,-3.7925011057857,0.391504845976417,-15.6121157799965,-39.6490711955663,3.12614446363532,207,9,3,0
Fish catch,night_control_diff,-1.86901077839691,-3.85832892212318,0.0813174026415638,-16.9914488740014,-40.3372744956607,0.649314946360694,199,9,3,0
Fish catch,nightkite_control_diff,-2.09641300634204,-4.56829658349235,0.453963383101464,-19.0587956087686,-47.7597003742537,3.62487241565661,62,9,3,0
Seabird bycatch,kite_control_diff,-0.105552297550463,-0.240114561989471,0.0222523939039006,-51.6911939722345,-218.853552523452,7.05878854466107,196,10,4,0
Seabird bycatch,night_control_diff,-0.136716654498938,-0.25353027430035,-0.0333992466877005,-66.9530391184607,-231.081366923968,-10.5947351524334,223,10,4,0
Seabird bycatch,nightkite_control_diff,-0.167517325458527,-0.295489165119306,-0.040084766580004,-82.0367795390416,-269.324996296496,-12.7154809667803,73,10,4,0
Fish catch,kite_control_diff,-1.61521346330676,-3.84001464409962,0.613503734676204,-14.9126832049429,-41.152445170462,4.93688666775232,196,10,4,0
Fish catch,night_control_diff,-1.43154224496367,-3.45028162863859,0.582650174427946,-13.2169131069096,-36.9757771011037,4.68860695626416,223,10,4,0
Fish catch,nightkite_control_diff,-1.66613400549842,-4.0876596519152,0.816018734021131,-15.382814200987,-43.8063927593152,6.56653216748756,73,10,4,0
Seabird bycatch,kite_control_diff,-0.100733909920109,-0.19352479245669,-0.0083169912559679,-56.5732282777201,-173.261699121443,-3.25178563557303,265,11,0,1
Seabird bycatch,night_control_diff,-0.0678365913515081,-0.235275953350817,0.202526062878995,-38.0977465399184,-210.641287467614,79.1838444733863,38,11,0,1
Seabird bycatch,nightkite_control_diff,0.171363548847203,-0.23112660581292,0.876904358510308,96.2395798505364,-206.926399077681,342.852951147338,4,11,0,1
Fish catch,kite_control_diff,-0.976561298317132,-2.59474765806765,0.682886427349118,-9.63943823964769,-28.4382125827037,6.10934952077304,265,11,0,1
Fish catch,night_control_diff,1.80267651296707,-1.85731595068388,5.8235675744054,17.7938537424678,-20.3560240914253,52.0997465244599,38,11,0,1
Fish catch,nightkite_control_diff,2.03807376442906,-1.8385286208153,6.17960832482617,20.1174122033252,-20.1501165616496,55.2850161400862,4,11,0,1
Seabird bycatch,kite_control_diff,-0.135513126500888,-0.234395451594943,-0.0441467146870296,-69.9081840469639,-203.766333340714,-15.3759846929949,241,12,1,1
Seabird bycatch,night_control_diff,-0.0605433567335072,-0.212217660367524,0.124401829854459,-31.2329604860771,-184.486576974893,43.3282667845885,136,12,1,1
Seabird bycatch,nightkite_control_diff,0.0851862383333005,-0.238787926180532,0.614826937282275,43.9456706626414,-207.58483081798,214.139820902023,28,12,1,1
Fish catch,kite_control_diff,-0.653616626794938,-2.46280721969142,1.15173817258689,-6.76397879612693,-29.0476812620239,10.564870129041,241,12,1,1
Fish catch,night_control_diff,1.82694366689941,-0.346384147381788,4.06271951888882,18.9062023792472,-4.08544210318856,37.2672410356724,136,12,1,1
Fish catch,nightkite_control_diff,1.19351957863077,-1.8455479221456,4.42820848021026,12.3511869063173,-21.7673910355812,40.6198636211392,28,12,1,1
Seabird bycatch,kite_control_diff,-0.111649884342102,-0.230090780362031,-0.0117845980575724,-62.5430004925622,-251.428311774798,-4.05634578747259,211,13,2,1
Seabird bycatch,night_control_diff,-0.0332091617712908,-0.177814381825127,0.114814349186154,-18.602801366595,-194.304047129689,39.5199479343635,212,13,2,1
Seabird bycatch,nightkite_control_diff,-0.0418204109434721,-0.239821939085821,0.248410022121379,-23.4265713542744,-262.061892162875,85.5045663734413,58,13,2,1
Fish catch,kite_control_diff,-0.938310822457265,-3.05788603548786,1.2014573201292,-9.3245034559896,-35.6012874061957,10.3417782556164,211,13,2,1
Fish catch,night_control_diff,0.478045399903375,-1.64671225568963,2.57394118443513,4.7505963661865,-19.1717662495418,22.1557008529976,212,13,2,1
Fish catch,nightkite_control_diff,-0.521398399550608,-3.07371771999186,2.16209422167844,-5.18141863250066,-35.785607012489,18.6106477805999,58,13,2,1
Seabird bycatch,kite_control_diff,-0.106796799938289,-0.209931533588563,-0.0168176713273512,-64.1688838005427,-240.455722228948,-6.39917332723385,190,14,3,1
Seabird bycatch,night_control_diff,-0.0292288249619862,-0.152986262418045,0.0964511978549925,-17.5621467468677,-175.230569662462,36.6999640247241,262,14,3,1
Seabird bycatch,nightkite_control_diff,-0.0316142481878756,-0.205119537216337,0.192630762930675,-18.9954288853368,-234.94405829134,73.2965709792373,79,14,3,1
Fish catch,kite_control_diff,-2.33601812623853,-4.79853440779911,0.0981764598359951,-20.3139879760438,-49.5629869580883,0.731827680745905,190,14,3,1
Fish catch,night_control_diff,-1.63501603895379,-3.91200366074304,0.60331390962283,-14.2180815220929,-40.4062094672633,4.49722693177761,262,14,3,1
Fish catch,nightkite_control_diff,-2.20886630128844,-4.92493653948579,0.425362100534251,-19.2082771024184,-50.8685662604017,3.17073726259028,79,14,3,1
Seabird bycatch,kite_control_diff,-0.109845398807655,-0.221977192064096,-0.0084072935048148,-63.0070089662512,-260.101499354175,-3.02156508784185,176,15,4,1
Seabird bycatch,night_control_diff,-0.0390712043292482,-0.164646172158994,0.0878938096562885,-22.4111319019001,-192.923947921254,31.5888658511522,293,15,4,1
Seabird bycatch,nightkite_control_diff,-0.0600414288082677,-0.220134280245211,0.131369015883285,-34.4395931402948,-257.942069717228,47.2137712082672,93,15,4,1
Fish catch,kite_control_diff,-2.10906941381412,-4.77684827192826,0.522580543420558,-18.7551279238708,-51.7982228016477,3.89195472835787,176,15,4,1
Fish catch,night_control_diff,-1.2708733727951,-3.72313156676049,1.11623697254994,-11.3013789521078,-40.3721423492188,8.31325202972091,293,15,4,1
Fish catch,nightkite_control_diff,-1.917982072744,-4.71206351603467,0.847905036086614,-17.0558630713588,-51.0957229463254,6.31483138043276,93,15,4,1
Seabird bycatch,kite_control_diff,-0.101083179343318,-0.194464261066942,-0.00793587644479383,-56.6345895383274,-171.098569882921,-3.07071503117802,264,16,0,2
Seabird bycatch,night_control_diff,-0.0725350526768213,-0.237702940110955,0.176113534401092,-40.6397282137355,-209.141941489956,68.1455263374341,40,16,0,2
Seabird bycatch,nightkite_control_diff,0.10144638377726,-0.234620129696398,0.668895393166567,56.8380846615363,-206.429543590945,258.822973413325,5,16,0,2
Fish catch,kite_control_diff,-0.946606436305875,-2.57735501024646,0.7152578850008,-9.36341763489043,-28.3128864551744,6.40732942986031,264,16,0,2
Fish catch,night_control_diff,1.94917137854845,-1.65716361500378,5.77599181814059,19.2803523822934,-18.2043548842585,51.7417327918911,40,16,0,2
Fish catch,nightkite_control_diff,1.29213268807226,-1.95761209482237,4.99558019365079,12.7812124807957,-21.504856235805,44.7507516732516,5,16,0,2
Seabird bycatch,kite_control_diff,-0.141674497177881,-0.244335027539863,-0.0520440894716719,-70.5814085783517,-205.637411664012,-17.4543651935763,238,17,1,2
Seabird bycatch,night_control_diff,-0.0784489138808489,-0.223329143635204,0.101938532814309,-39.0827915641024,-187.958425399286,34.1877895665133,148,17,1,2
Seabird bycatch,nightkite_control_diff,0.0548406579671657,-0.246680863083058,0.535663270205153,27.3212960962637,-207.611715365569,179.648879130361,31,17,1,2
Fish catch,kite_control_diff,-0.391773647021286,-2.21115402731839,1.44042257938469,-4.1879110413322,-27.0429782951981,13.5642723162496,238,17,1,2
Fish catch,night_control_diff,2.93870624377051,0.695701910020657,5.21837564582447,31.4136502521052,8.50861198278134,49.1407655791432,148,17,1,2
Fish catch,nightkite_control_diff,1.59012926554722,-1.30651762680321,4.60348825166868,16.9978760923877,-15.9790441495306,43.3504508634984,31,17,1,2
Seabird bycatch,kite_control_diff,-0.136434122794048,-0.271941802594081,-0.0238337658643853,-66.3720081100819,-258.244827343683,-7.09091305147084,203,18,2,2
Seabird bycatch,night_control_diff,-0.0766956193892781,-0.231326954679301,0.0662504929070297,-37.310624115619,-219.675639792189,19.7105437509907,240,18,2,2
Seabird bycatch,nightkite_control_diff,-0.0861676917756423,-0.283505850855724,0.17282106674836,-41.9185656801796,-269.22642567919,51.4169336372586,66,18,2,2
Fish catch,kite_control_diff,-0.716387196816342,-2.87332338312538,1.47964466325383,-7.47461778576269,-35.5729493948346,13.2655216502738,203,18,2,2
Fish catch,night_control_diff,1.63310307257711,-0.447783002642035,3.7770722088407,17.0394185246696,-5.54374150379339,33.8627471888017,240,18,2,2
Fish catch,nightkite_control_diff,0.599643748937364,-1.9879107164652,3.22962821109443,6.25654373898268,-24.6111689806898,28.9547240770596,66,18,2,2
Seabird bycatch,kite_control_diff,-0.13359772208717,-0.252776114332507,-0.0299668816087218,-71.8106841239102,-279.763379247636,-10.0661085841906,180,19,3,2
Seabird bycatch,night_control_diff,-0.0518410143377904,-0.184323275771361,0.075700673707048,-27.8652857781897,-204.002275452171,25.4284450207775,295,19,3,2
Seabird bycatch,nightkite_control_diff,-0.0465829541624331,-0.220074158039908,0.166067591742845,-25.0390033202393,-243.570047355558,55.7833955706619,89,19,3,2
Fish catch,kite_control_diff,-2.32668605793136,-4.93954812590588,0.3179621596743,-20.7260944568265,-53.7568758589015,2.36831857374671,180,19,3,2
Fish catch,night_control_diff,-0.776237192959595,-3.30923567886495,1.69498566913467,-6.91471259190269,-36.0142602202031,12.6249804270989,295,19,3,2
Fish catch,nightkite_control_diff,-1.44451169604641,-4.29573703012912,1.36780203579052,-12.8676947000177,-46.7503092114902,10.1879763613679,89,19,3,2
Seabird bycatch,kite_control_diff,-0.144392635697634,-0.283747928038744,-0.0255316743030075,-71.5831126188314,-310.336670920655,-7.5989471285434,165,20,4,2
Seabird bycatch,night_control_diff,-0.0691450390552535,-0.219767980278092,0.0687048212657029,-34.2788750535068,-240.361449846946,20.4484946062704,328,20,4,2
Seabird bycatch,nightkite_control_diff,-0.0811051584870585,-0.260312483722136,0.115632305151738,-40.208142651436,-284.705196460093,34.4154387515493,104,20,4,2
Fish catch,kite_control_diff,-2.02320375873116,-5.0832288610903,0.950489544231092,-18.662718726313,-59.8708869900094,7.08857242706142,165,20,4,2
Fish catch,night_control_diff,-0.369015371588961,-3.24879701265217,2.27084726318373,-3.40392313721761,-38.2647258491246,16.9355522042001,328,20,4,2
Fish catch,nightkite_control_diff,-1.02315088038134,-4.03635744616049,1.95240498655268,-9.43789127157,-47.5407083006142,14.5606695393271,104,20,4,2
Seabird bycatch,kite_control_diff,-0.101156678400772,-0.196002591549436,-0.00769678163312104,-56.6245091335263,-175.33068700436,-2.9872702412212,264,21,0,3
Seabird bycatch,night_control_diff,-0.0735768209432123,-0.236177999471321,0.177934924712874,-41.1861227096495,-211.268894841003,69.059995567675,40,21,0,3
Seabird bycatch,nightkite_control_diff,0.10293342561291,-0.232802246171606,0.67660361119812,57.6190795398723,-208.249173823452,262.602985140861,5,21,0,3
Fish catch,kite_control_diff,-0.949630879001264,-2.58056051006551,0.713696456361805,-9.40244409457273,-28.3897457060833,6.40058268176704,264,21,0,3
Fish catch,night_control_diff,1.92995489189992,-1.70762919244142,5.80476434523809,19.1087857160045,-18.7862901662654,52.0583699255958,40,21,0,3
Fish catch,nightkite_control_diff,1.32856621531262,-1.8800545255102,5.20031278998488,13.1543422203717,-20.6832080412836,46.6375189152896,5,21,0,3
Seabird bycatch,kite_control_diff,-0.150453875921654,-0.256607897446075,-0.0582393145890722,-73.6976135004764,-211.764218397608,-19.1657772916559,237,22,1,3
Seabird bycatch,night_control_diff,-0.0854737685589753,-0.231148477404147,0.088309017134616,-41.8680656852517,-190.753975767924,29.0613130870303,152,22,1,3
Seabird bycatch,nightkite_control_diff,0.0824240508674405,-0.224858109610784,0.56314117340272,40.3742064254654,-185.562885265828,185.322206989426,32,22,1,3
Fish catch,kite_control_diff,-0.477823532314831,-2.30284779326008,1.39099928695903,-5.11622928772601,-28.2349420436546,13.1176229038296,237,22,1,3
Fish catch,night_control_diff,2.99841585178779,0.735813571025822,5.29912600543917,32.1051224149231,9.02172240547306,49.9726616044451,152,22,1,3
Fish catch,nightkite_control_diff,2.29601434088628,-0.717446541285569,5.64429643652529,24.5842555283389,-8.79652644517211,53.227742750057,32,22,1,3
Seabird bycatch,kite_control_diff,-0.150431635311746,-0.289138293436372,-0.0328581445823526,-70.2508574184801,-264.26524594959,-9.4458194696552,201,23,2,3
Seabird bycatch,night_control_diff,-0.0879304562225744,-0.243590357344217,0.0585861309653465,-41.0631043798248,-222.635559370083,16.8419131255955,246,23,2,3
Seabird bycatch,nightkite_control_diff,-0.0787138909552418,-0.280577532668054,0.172049562101512,-36.7590122841581,-256.440922429284,49.4595517823897,68,23,2,3
Fish catch,kite_control_diff,-0.798334788042189,-2.9898876870286,1.44385651548931,-8.37117475976609,-37.3788818697264,12.8890535528652,201,23,2,3
Fish catch,night_control_diff,1.77266319932577,-0.415154401493117,3.95273410663383,18.5877825368896,-5.19016396449669,35.2853632158698,246,23,2,3
Fish catch,nightkite_control_diff,1.06809716164213,-1.58875574003812,3.7876231620273,11.199847650938,-19.8622554901897,33.8114468091024,68,23,2,3
Seabird bycatch,kite_control_diff,-0.143355715138507,-0.266028275632763,-0.0372639667753432,-77.6845884531874,-309.8218059995,-12.3231202937009,177,24,3,3
Seabird bycatch,night_control_diff,-0.0474072381802761,-0.185016369809182,0.0830831248764393,-25.6900241764253,-215.473733750326,27.4754254801019,303,24,3,3
Seabird bycatch,nightkite_control_diff,-0.0258732543495251,-0.206502345577438,0.180461721396687,-14.0207393485884,-240.496727266143,59.6783352289587,92,24,3,3
Fish catch,kite_control_diff,-2.32831298828454,-5.10084632594036,0.346322264518033,-21.1179318653676,-57.069912279948,2.59454807618187,177,24,3,3
Fish catch,night_control_diff,-0.421436758307309,-3.00379878705293,2.04776735239909,-3.82245548269368,-33.6074687080721,15.3412915916021,303,24,3,3
Fish catch,nightkite_control_diff,-0.861481954240502,-3.75265971028673,1.98163768404059,-7.81369055811469,-41.985966013802,14.8458668921337,92,24,3,3
Seabird bycatch,kite_control_diff,-0.164553678783294,-0.312519002433621,-0.0379185690112989,-78.510959950407,-347.108578802601,-10.7197015293512,162,25,4,3
Seabird bycatch,night_control_diff,-0.0755302226939991,-0.232474785896537,0.0677794652772955,-36.0365707580639,-258.205075248586,19.1614730338354,338,25,4,3
