Type,treatment,abs.mean.diff(N),abs.lcl.diff(N),abs.ucl.diff(N),prop.mean.diff(%),prop.lcl.diff(%),prop.ucl.diff(%)
seaduck bycatch,kite_control_diff,-0.115287861264119,-0.207745280668003,-0.0341603758434069,-67.6983610837015,-204.010888811507,-13.4029712939444
seaduck bycatch,night_control_diff,-0.118971937755534,-0.210489389203936,-0.0370738352025614,-69.8616932666481,-206.705669745209,-14.5460796817392
Fish catch,kite_control_diff,-1.77462126176267,-3.43282661852805,-0.0756126496515249,-18.0412766498712,-39.3925451420994,-0.686389641425024
Fish catch,night_control_diff,3.01990135930606,0.894861297599287,5.1567123563601,30.7011287718073,10.2687574931217,46.8111349294928
