Type,treatment,abs.mean.diff(N),abs.lcl.diff(N),abs.ucl.diff(N),prop.mean.diff(%),prop.lcl.diff(%),prop.ucl.diff(%)
Seabird bycatch,kite_control_diff,-0.117992058175938,-0.23308803178047,-0.00424128994526244,-54.2083154178791,-172.19309429458,-1.3428932591061
Seabird bycatch,night_control_diff,-0.142385422357146,-0.248373304860754,-0.0409829902605649,-65.4151983223741,-183.485044587896,-12.9761893360767
Seabird bycatch,nightkite_control_diff,-0.21766413006264,-0.315832246271432,-0.135364331964274,-100,-233.320138095749,-42.859566609275
Fish catch,kite_control_diff,-1.14299157659514,-2.99497504615806,0.731130720650083,-11.114917844697,-32.8696509103588,6.36517306389165
Fish catch,night_control_diff,-0.643665013480145,-2.54390409472061,1.31830246832488,-6.25926200230585,-27.9191773735019,11.4770493489623
Fish catch,nightkite_control_diff,-0.851614790400605,-3.45156297477324,1.952194805839,-8.28145073372174,-37.8806729029183,16.9956718308144
